col_key,season,location,location_name,col_id
2023/2024__05,2023/2024,05,Arkansas,162
2023/2024__06,2023/2024,06,California,163
2023/2024__08,2023/2024,08,Colorado,164
2023/2024__09,2023/2024,09,Connecticut,165
2023/2024__10,2023/2024,10,Delaware,166
2023/2024__11,2023/2024,11,District of Columbia,167
2023/2024__12,2023/2024,12,Florida,168
2023/2024__13,2023/2024,13,Georgia,169
2023/2024__15,2023/2024,15,Hawaii,170
2023/2024__16,2023/2024,16,Idaho,171
2023/2024__17,2023/2024,17,Illinois,172
2023/2024__18,2023/2024,18,Indiana,173
2023/2024__19,2023/2024,19,Iowa,174
2023/2024__20,2023/2024,20,Kansas,175
2023/2024__21,2023/2024,21,Kentucky,176
2023/2024__22,2023/2024,22,Louisiana,177
2023/2024__23,2023/2024,23,Maine,178
2023/2024__24,2023/2024,24,Maryland,179
2023/2024__26,2023/2024,26,Michigan,181
2023/2024__28,2023/2024,28,Mississippi,183
2023/2024__29,2023/2024,29,Missouri,184
2023/2024__30,2023/2024,30,Montana,185
2023/2024__31,2023/2024,31,Nebraska,186
2023/2024__32,2023/2024,32,Nevada,187
2023/2024__33,2023/2024,33,New Hampshire,188
2023/2024__34,2023/2024,34,New Jersey,189
2023/2024__35,2023/2024,35,New Mexico,190
2023/2024__36,2023/2024,36,New York,191
2023/2024__37,2023/2024,37,North Carolina,192
2023/2024__38,2023/2024,38,North Dakota,193
2023/2024__39,2023/2024,39,Ohio,194
2023/2024__40,2023/2024,40,Oklahoma,195
2023/2024__41,2023/2024,41,Oregon,196
2023/2024__42,2023/2024,42,Pennsylvania,197
2023/2024__44,2023/2024,44,Rhode Island,198
2023/2024__45,2023/2024,45,South Carolina,199
2023/2024__46,2023/2024,46,South Dakota,200
2023/2024__47,2023/2024,47,Tennessee,201
2023/2024__48,2023/2024,48,Texas,202
2023/2024__49,2023/2024,49,Utah,203
2023/2024__50,2023/2024,50,Vermont,204
2023/2024__51,2023/2024,51,Virginia,205
2023/2024__53,2023/2024,53,Washington,206
2023/2024__54,2023/2024,54,West Virginia,207
2023/2024__55,2023/2024,55,Wisconsin,208
2023/2024__56,2023/2024,56,Wyoming,209
2023/2024__72,2023/2024,72,Puerto Rico,210
2023/2024__US,2023/2024,US,US,211
2024/2025__01,2024/2025,01,Alabama,212
2024/2025__02,2024/2025,02,Alaska,213
2024/2025__04,2024/2025,04,Arizona,214
2024/2025__05,2024/2025,05,Arkansas,215
2024/2025__06,2024/2025,06,California,216
2024/2025__08,2024/2025,08,Colorado,217
2024/2025__09,2024/2025,09,Connecticut,218
2024/2025__10,2024/2025,10,Delaware,219
2024/2025__11,2024/2025,11,District of Columbia,220
2024/2025__12,2024/2025,12,Florida,221
2024/2025__13,2024/2025,13,Georgia,222
2024/2025__15,2024/2025,15,Hawaii,223
2024/2025__16,2024/2025,16,Idaho,224
2024/2025__17,2024/2025,17,Illinois,225
2024/2025__18,2024/2025,18,Indiana,226
2024/2025__19,2024/2025,19,Iowa,227
2024/2025__20,2024/2025,20,Kansas,228
2024/2025__21,2024/2025,21,Kentucky,229
2024/2025__22,2024/2025,22,Louisiana,230
2024/2025__23,2024/2025,23,Maine,231
2024/2025__24,2024/2025,24,Maryland,232
2024/2025__26,2024/2025,26,Michigan,234
2024/2025__28,2024/2025,28,Mississippi,236
2024/2025__29,2024/2025,29,Missouri,237
2024/2025__30,2024/2025,30,Montana,238
2024/2025__31,2024/2025,31,Nebraska,239
2024/2025__32,2024/2025,32,Nevada,240
2024/2025__33,2024/2025,33,New Hampshire,241
2024/2025__34,2024/2025,34,New Jersey,242
2024/2025__35,2024/2025,35,New Mexico,243
2024/2025__36,2024/2025,36,New York,244
2024/2025__37,2024/2025,37,North Carolina,245
2024/2025__38,2024/2025,38,North Dakota,246
2024/2025__39,2024/2025,39,Ohio,247
2024/2025__40,2024/2025,40,Oklahoma,248
2024/2025__41,2024/2025,41,Oregon,249
2024/2025__42,2024/2025,42,Pennsylvania,250
2024/2025__44,2024/2025,44,Rhode Island,251
2024/2025__45,2024/2025,45,South Carolina,252
2024/2025__46,2024/2025,46,South Dakota,253
2024/2025__47,2024/2025,47,Tennessee,254
2024/2025__48,2024/2025,48,Texas,255
2024/2025__49,2024/2025,49,Utah,256
2024/2025__50,2024/2025,50,Vermont,257
2024/2025__51,2024/2025,51,Virginia,258
2024/2025__53,2024/2025,53,Washington,259
2024/2025__55,2024/2025,55,Wisconsin,261
2024/2025__56,2024/2025,56,Wyoming,262
2024/2025__72,2024/2025,72,Puerto Rico,263
2024/2025__US,2024/2025,US,US,264
